scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,source_link
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pasegeran,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pingit lor,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pringamba,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sinduaji,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Biting,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Condongcampur,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Darmayasa,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gembol,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Giritirta,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Grogol,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karangsari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pegundungan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pejawaran,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Penusupan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Ratamba,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sarwodadi,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Semangkung,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sidengok,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sirongge,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Tlahab,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Badakarya,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Bondolharjo,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Danakerta,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Jembangan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karangsari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kecepit,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Klapa,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Mlaya,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pasuruhan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Petuguran,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Punggelan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Purwasana,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sambong,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sawangan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sidarata,,http://corona.banjarnegarakab.go.id/
